station_id,network,zone_id,zone_name,zone_type,latitude,longitude,h3_index,charger_type,total_ports,power_kw,cost_per_kwh,operating_hours,is_24hr,avg_utilization,monthly_revenue_inr,install_year,is_operational,city
CS001,BPCL Pulse,Z060,Indiranagar 100ft Road,commercial,12.978474,77.642667,8861892ec3fffff,fast_dc,4,30.0,13.1,06:00-23:00,False,0.54,432928,2023,True,Bangalore
CS002,Rapido Internal,Z116,Cunningham Road,commercial,12.990748,77.592071,8860145b69fffff,slow_ac,5,7.2,8.6,06:00-23:00,False,0.43,67895,2023,True,Bangalore
CS003,Statiq,Z066,Kodihalli,residential,12.957273,77.644123,8861892531fffff,slow_ac,2,3.3,7.2,07:00-22:00,False,0.31,7512,2023,True,Bangalore
CS004,BPCL Pulse,Z095,BIAL Road KM10,mixed,13.123327,77.692234,8861892d23fffff,ultra_fast_dc,2,240.0,22.1,07:00-22:00,False,0.5,2705040,2024,True,Bangalore
CS005,Statiq,Z163,Nelamangala,residential,13.101476,77.396049,8860144803fffff,fast_dc,5,30.0,16.7,07:00-22:00,False,0.3,383265,2022,True,Bangalore
CS006,Ather Grid,Z127,Hennur,residential,13.044984,77.640047,8861892c15fffff,slow_ac,6,11.0,7.2,07:00-22:00,False,0.26,63011,2022,True,Bangalore
CS007,Ather Grid,Z051,Outer Ring Road East,tech_park,12.934231,77.68715,8861892093fffff,fast_dc,4,60.0,17.3,06:00-23:00,False,0.75,1588140,2022,True,Bangalore
CS008,Ather Grid,Z163,Nelamangala,residential,13.102028,77.389282,8860144803fffff,slow_ac,4,7.2,6.1,07:00-22:00,False,0.35,31358,2023,True,Bangalore
CS009,BESCOM Public,Z003,Residency Road,commercial,12.974827,77.608153,88618925a7fffff,slow_ac,7,7.2,6.3,06:00-23:00,False,0.72,116593,2023,False,Bangalore
CS010,BESCOM Public,Z186,Amruthahalli,residential,13.057657,77.582297,8861892cbbfffff,slow_ac,7,3.3,6.7,07:00-22:00,False,0.59,46570,2022,True,Bangalore
CS011,Statiq,Z029,Wilson Garden,residential,12.944083,77.600352,8861892587fffff,slow_ac,4,3.3,7.4,07:00-22:00,False,0.35,17435,2023,True,Bangalore
CS012,Zeon Charging,Z114,Richmond Road,commercial,12.964115,77.601952,88618925a3fffff,slow_ac,8,7.2,6.2,06:00-23:00,False,0.53,96529,2024,True,Bangalore
CS013,ChargeZone,Z137,Yeshwanthpur Junction,transit_hub,13.011136,77.551568,886014594bfffff,ultra_fast_dc,4,100.0,23.7,24x7,True,0.6,4095360,2024,True,Bangalore
CS014,Zeon Charging,Z006,Vidhana Soudha,commercial,12.97624,77.588456,8860145b45fffff,slow_ac,2,7.2,8.9,06:00-23:00,False,0.59,38563,2022,False,Bangalore
CS015,Statiq,Z048,Whitefield Phase 2,tech_park,12.972919,77.758718,88618921ddfffff,ultra_fast_dc,1,240.0,23.6,06:00-23:00,False,0.84,2426457,2023,True,Bangalore
CS016,Zeon Charging,Z129,Kammanahalli,residential,13.008147,77.647096,8861892ee3fffff,slow_ac,6,11.0,7.7,07:00-22:00,False,0.44,114040,2023,True,Bangalore
CS017,Rapido Internal,Z095,BIAL Road KM10,mixed,13.115881,77.686369,8861892d23fffff,fast_dc,5,30.0,17.9,07:00-22:00,False,0.65,890077,2023,True,Bangalore
CS018,Tata Power EV,Z052,Brookefield,mixed,12.979617,77.716762,886189219bfffff,fast_dc,4,30.0,16.8,07:00-22:00,False,0.42,431827,2023,True,Bangalore
CS019,Ather Grid,Z091,Kadubeesanahalli,tech_park,12.940081,77.698004,8861892095fffff,fast_dc,2,60.0,12.9,06:00-23:00,False,0.51,402634,2023,True,Bangalore
CS020,BESCOM Public,Z081,Wipro Campus EC,tech_park,12.817822,77.678526,8861892641fffff,fast_dc,5,60.0,17.1,06:00-23:00,False,0.61,1595943,2024,True,Bangalore
CS021,Ather Grid,Z133,Bagmane Tech Park,tech_park,12.98628,77.651219,8861892ecdfffff,fast_dc,6,30.0,15.6,06:00-23:00,False,0.76,1088380,2023,True,Bangalore
CS022,BPCL Pulse,Z163,Nelamangala,residential,13.096511,77.390406,8860144803fffff,fast_dc,6,60.0,14.5,07:00-22:00,False,0.42,1118124,2023,True,Bangalore
